C”DIGO;GRUPO/FAMILIA (Abrev.);Nome do produto;Bitola;Unidade;PreÁo Unit·rio;Cobre_kg;Aluminio_kg;PVC_kg;Skin_kg;Embalagem_kg;Peso_Total_kg;ObservaÁ„o;PVC_HEPR;Capa_PP_kg;PVC_Atox_kg;PVC_Emb_kg;Etiqueta_un
K044;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO ELETRICO FLEX HEPR  2,5MM BRANCO 1KV 90∫;2,5;M;#N/D;#N/D;0.0;#N/D;0.0;0,0133;#N/D;;0.0;0.0;0.0;0.0;0.0
K045;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO ELETRICO FLEX HEPR  2,5MM AZUL 1KV 90∫;2,5;M;#N/D;#N/D;0.0;#N/D;0.0;0,0133;#N/D;;0.0;0.0;0.0;0.0;0.0
K046;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO ELETRICO FLEX HEPR  2,5MM VERDE 1KV 90∫;2,5;M;#N/D;#N/D;0.0;#N/D;0.0;0,0133;#N/D;;0.0;0.0;0.0;0.0;0.0
K085;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO ELETREFLEX HEPR 2,5MM CINZA 1KV 90∫;2,5;M;#N/D;#N/D;0.0;#N/D;0.0;0,0133;#N/D;;0.0;0.0;0.0;0.0;0.0
K104;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO ELETRICO FLEX HEPR 400,0MM PRETO 1KV 90∫;400;M;#N/D;#N/D;0.0;#N/D;0.0;0,0133;#N/D;;0.0;0.0;0.0;0.0;0.0
F043B;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEXIVEL 35,0MM PRETO MAXFIO#  METRO (BOBINA);35;M;#N/D;#N/D;0.0;#N/D;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0
F047B;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEXIVEL 35,0MM AZUL MAXFIO# 100M;35;M;#N/D;#N/D;0.0;#N/D;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0
F048B;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEXIVEL 35,0MM VERMELHO MAXFIO# 100M;35;M;#N/D;#N/D;0.0;#N/D;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0
F196B;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEX 0,50MM CINZA MAXFIO METRO (BOBINA);0;M;#N/D;#N/D;0.0;#N/D;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0
F180B;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEX 0,50MM PRETO MAXFIO METRO (BOBINA);0;M;#N/D;#N/D;0.0;#N/D;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0
F042B;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEXIVEL 25,0MM PRETO MAXFIO# METRO (BOBINA);25;M;#N/D;#N/D;0.0;#N/D;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0
F046B;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEXIVEL 25,0MM VERMELHO MAXFIO# METRO (BOBINA);25;M;#N/D;#N/D;0.0;#N/D;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0
F045B;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEXIVEL 25,0MM AZUL MAXFIO# METRO (BOBINA);25;M;#N/D;#N/D;0.0;#N/D;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0
F051;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEXIVEL 25,0MM VERDE MAXFIO# 100M;25;M;#N/D;#N/D;0.0;#N/D;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0
F051B;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEXIVEL 25,0MM VERDE MAXFIO# METRO;25;M;#N/D;#N/D;0.0;#N/D;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0
F174B;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEXIVEL 35,0MM VERDE MAXFIO# METRO;35;M;#N/D;#N/D;0.0;#N/D;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0
F175B;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEXIVEL 50,0MM PRETO MAXFIO# METRO;50;M;#N/D;#N/D;0.0;#N/D;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0
